Name,Ratings,ReviewCount,Location,Cuisine,Cost (for two)
Celebrations Fine Confections,4.1,,"Lower Parel, Mumbai","Bakery, Desserts, Fast Food",350
Invento,4.1,,"Lower Parel, Mumbai","Chinese, Fast Food, North Indian, Italian, Mexican","1,200"
RISO,4.1,,"Lower Parel, Mumbai","Italian, Mexican, Fast Food, Lebanese, Desserts","1,400"
Tings Restaurant,4.1,,"Lower Parel, Mumbai","Chinese, Thai, Asian, Beverages","1,200"
Vanakkam Cafe,4.1,,"Lower Parel, Mumbai",South Indian,600
Ambience Bar & Kitchen,4,484,"Lower Parel, Mumbai","Chinese, North Indian, Malwani","1,200"
Banana Leaf,4,,"Lower Parel, Mumbai","South Indian, North Indian, Street Food, Beverages, Desserts",600
Dhaba Cafe,4,,"Lower Parel, Mumbai","North Indian, Fast Food, Mughlai, Biryani, Chinese, Street Food",450
Howra Burger,4,,"Lower Parel, Mumbai","Burger, Fast Food",700
Poornima,4,,"Lower Parel, Mumbai","South Indian, North Indian",300
Sawant's Swaad Gharcha,4,,"Lower Parel, Mumbai","Maharashtrian, Malwani, Desserts, Beverages",700
Sizzling China,4,,"Lower Parel, Mumbai",Chinese,850
Utsav- The Barbeque Restaurant,4,,"Lower Parel, Mumbai","North Indian, Chinese, Mughlai, BBQ, Malwani, Desserts, Fast Food",600
Hideout Cafe & Bar,3.9,567,"Lower Parel, Mumbai","Cafe, Italian, Bar Food, Beverages","1,500"
Epitome,3.9,,"Lower Parel, Mumbai","Italian, North Indian, Asian, Arabian, Sushi, Desserts, Beverages, Fast Food","2,000"
Hotel New Mayur Garden,3.9,,"Lower Parel, Mumbai","North Indian, Mughlai, Chinese",500
Lavish Kitchen,3.9,,"Lower Parel, Mumbai","North Indian, Chinese, Fast Food, Biryani",500
Mad For Momos,3.9,,"Lower Parel, Mumbai","Momos, Fast Food",250
Pete's Pizzeria & Kitchen,3.9,,"Lower Parel, Mumbai","Pizza, Fast Food",400
Qualia,3.9,,"Lower Parel, Mumbai","Fast Food, Bar Food, Beverages, Continental","2,700"
Saoji Express,3.9,,"Lower Parel, Mumbai","North Indian, Chinese",400
Shashikant Lunch Home,3.9,,"Lower Parel, Mumbai","North Indian, Malwani",350
Srinathji's,3.9,,"Lower Parel, Mumbai","Bakery, Desserts, Fast Food, Street Food",400
Sugar Coated Love,3.9,,"Lower Parel, Mumbai","Desserts, Bakery",200
Cafe Bae-Beyond all Eateries,3.8,,"Lower Parel, Mumbai","Cafe, Fast Food, Beverages, Italian",650
FIRKI,3.8,,"Lower Parel, Mumbai","Gujarati, Rajasthani, Maharashtrian","1,200"
Grapeviine,3.8,,"Lower Parel, Mumbai","North Indian, Chinese, Pizza, Italian, Beverages, Mughlai",500
GupShup - Redefining Food,3.8,,"Lower Parel, Mumbai","South Indian, North Indian, Mexican, Lebanese, Italian, Chinese, Desserts, Beverages","1,600"
Hotel Mango,3.8,,"Lower Parel, Mumbai","Malwani, Seafood",600
Ithaka - Veg Lebanese Kitchen,3.8,,"Lower Parel, Mumbai",Lebanese,"1,000"
Qinling,3.8,,"Lower Parel, Mumbai","Asian, Beverages",900
Shubha Bhojanalaya,3.8,,"Lower Parel, Mumbai","Maharashtrian, Biryani",400
The Six Pack Waffle,3.8,,"Lower Parel, Mumbai",Desserts,250
WFX - Dines And Burger House,3.8,,"Lower Parel, Mumbai","North Indian, Chinese, Fast Food",650
Froozo,3.7,,"Lower Parel, Mumbai","Fast Food, Desserts, Beverages",600
Hotel Aai,3.7,,"Lower Parel, Mumbai","North Indian, Seafood, Chinese, Maharashtrian, Biryani",300
Marutirao Misalwale,3.7,,"Lower Parel, Mumbai","Street Food, Beverages",200
Ramnath Snacks,3.7,,"Lower Parel, Mumbai",Fast Food,250
Shree Krishna Restaurant,3.7,,"Lower Parel, Mumbai","North Indian, South Indian, Chinese, Fast Food, Street Food",300
Status,3.7,,"Lower Parel, Mumbai","North Indian, Chinese, South Indian, Street Food, Fast Food, Ice Cream, Beverages",800
Steam Grill & Wok,3.7,,"Lower Parel, Mumbai",Chinese,450
The Bhooka-Soor,3.7,,"Lower Parel, Mumbai","North Indian, Street Food, Fast Food, Beverages",450
Yogurtbay & Wafflebay,3.7,,"Lower Parel, Mumbai","Frozen Yogurt, Desserts",300
Tokyo Treat,3.6,171,"Lower Parel, Mumbai","Japanese, Sushi",700
1Tablespoon Italian Ice Cream,3.6,,"Lower Parel, Mumbai","Italian, Pizza, Desserts, Beverages",300
Anand Bhuvan Hotel,3.6,,"Lower Parel, Mumbai",Street Food,150
Cake N Walkerss,3.6,,"Lower Parel, Mumbai",Bakery,400
Giggle & Gril Fast Food,3.6,,"Lower Parel, Mumbai","Pizza, Sandwich, Fast Food, Beverages",400
Hotel Real Taste,3.6,,"Lower Parel, Mumbai",Chinese,300
Piyo Juices,3.6,,"Lower Parel, Mumbai","Beverages, Fast Food, Sandwich",400
Punjabi Tadka by Crystal Chowpatty Fame,3.6,,"Lower Parel, Mumbai","North Indian, Maharashtrian, Malwani",500
Sanjay Bar and Restaurant,3.6,,"Lower Parel, Mumbai","Chinese, North Indian",400
Sawantwadi Lunch Home,3.6,,"Lower Parel, Mumbai","North Indian, Maharashtrian, Malwani",600
Siddhivinayak Fast Food Centre,3.6,,"Lower Parel, Mumbai","North Indian, Mughlai, Biryani, Chinese, Seafood",500
Snack Hack,3.6,,"Lower Parel, Mumbai","Fast Food, Sandwich",300
The Bombay Diet,3.6,,"Lower Parel, Mumbai","Maharashtrian, Salad, Street Food",250
The Jalsa By Nanumal Bhojraj,3.6,,"Lower Parel, Mumbai","North Indian, Street Food, Chinese, Desserts",400
Thee Confectionery,3.6,,"Lower Parel, Mumbai","Desserts, Bakery",500
Assal Malvani,3.5,,"Lower Parel, Mumbai","Malwani, Biryani",500
Chai Point,3.5,,"Lower Parel, Mumbai","Tea, Fast Food, Beverages",200
Chinese Gastronom,3.5,,"Lower Parel, Mumbai","Chinese, Italian, Japanese",800
Crispy Kitchen,3.5,,"Lower Parel, Mumbai","Fast Food, Turkish, Desserts, Beverages",350
Giani Ice Cream,3.5,,"Lower Parel, Mumbai","Desserts, Beverages, Ice Cream",300
Hotel Mumbadevi,3.5,,"Lower Parel, Mumbai",Fast Food,150
Manoj WTC Pasta,3.5,,"Lower Parel, Mumbai","Pizza, Burger, Fast Food, Italian, Beverages",400
Momos Corner,3.5,,"Lower Parel, Mumbai","Momos, Fast Food",200
Red Spice,3.5,,"Lower Parel, Mumbai","Chinese, Fast Food, North Indian, Mughlai",200
Roaring Spoon,3.5,,"Lower Parel, Mumbai","Biryani, Street Food",300
Rollistic,3.5,,"Lower Parel, Mumbai","Rolls, Biryani, Momos",300
Salad Days,3.5,,"Lower Parel, Mumbai","Healthy Food, Salad, Beverages",500
Urban Burger,3.5,,"Lower Parel, Mumbai","Burger, Fast Food, Beverages",400
Image,4,,"Mahakali, Mumbai","North Indian, Chinese, Seafood, Mughlai","1,200"
Red Box Cafe,3.9,594,"Mahakali, Mumbai","Italian, Fast Food, Continental, Charcoal Chicken","1,500"
Stranka Bar & Lounge,3.7,71,"Mahakali, Mumbai","Bar Food, Finger Food, Chinese, Continental","2,000"
Choice Bakers & Fast Food,3.5,,"Mahakali, Mumbai","Bakery, Fast Food, Biryani",300
Kailash Fast Food,3.5,,"Mahakali, Mumbai","Chinese, North Indian",300
Gallops,4.6,,"Mahalaxmi, Mumbai","North Indian, Continental, Seafood, Salad","2,600"
Masque,4.6,,"Mahalaxmi, Mumbai",Modern Indian,"7,900"
Keiba,4.3,781,"Mahalaxmi, Mumbai","Sushi, Japanese, Chinese, Asian","2,000"
Haji Ali Juice Center,4.1,,"Mahalaxmi, Mumbai","Rolls, Sandwich, Fast Food, Juices, Beverages, Ice Cream, Desserts, Pizza",500
Port,4,168,"Mahalaxmi, Mumbai","Italian, Beverages",800
Za'atar,4,,"Mahalaxmi, Mumbai","Middle Eastern, Healthy Food",900
Hotel Shree Ram,3.9,,"Mahalaxmi, Mumbai","North Indian, Street Food, South Indian, Chinese",500
Artisanal Gouris,3.8,,"Mahalaxmi, Mumbai",Desserts,500
Madras Diaries,3.8,,"Mahalaxmi, Mumbai","South Indian, Kerala",700
Cheese Please,3.7,,"Mahalaxmi, Mumbai","Fast Food, Momos, Burger, Sandwich, Beverages",300
Sea - Shore Juice Center,3.5,,"Mahalaxmi, Mumbai","Fast Food, North Indian, Street Food, Chinese, Beverages",350
The Sobo Kitchen,3.5,,"Mahalaxmi, Mumbai","Burger, Italian, Fast Food",600
Thangabali,4.7,,"Mahim, Mumbai","South Indian, Seafood, Chettinad, Kerala, Beverages","1,200"
Cafe Irani Chaii,4.6,,"Mahim, Mumbai","Parsi, Iranian, Biryani, Fast Food",400
Goa Portuguesa,4.5,"2,353","Mahim, Mumbai","Goan, Portuguese, South Indian, Seafood","2,100"
And Chillies,4.4,"1,068","Mahim, Mumbai","Asian, Chinese, Thai","1,600"
Diva Maharashtracha,4.4,,"Mahim, Mumbai","Seafood, Maharashtrian, Goan, North Indian, Malwani, Konkan","1,600"
Fresh Catch,4.4,,"Mahim, Mumbai","Konkan, Goan, Seafood","1,000"
Dakshin Culture Curry,4.2,369,"Mahim, Mumbai","South Indian, Chettinad, Hyderabadi, Andhra, Kerala, Seafood, Beverages","1,700"
The Beer Cafe,4.2,,"Mahim, Mumbai","Bar Food, Fast Food, North Indian","1,500"
The Chocolate Heaven,4.2,,"Mahim, Mumbai","Cafe, Fast Food, Desserts, Italian, Beverages, American",800
Lucky Dragon,4.1,,"Mahim, Mumbai",Chinese,500
Sneha Restaurant,4.1,,"Mahim, Mumbai","South Indian, North Indian",300
Ab's,4,,"Mahim, Mumbai","North Indian, Chinese, Seafood, South Indian",900
Ab's Lunch Home,4,,"Mahim, Mumbai","South Indian, Kebab, North Indian",700
Kakori House,4,,"Mahim, Mumbai","North Indian, Mughlai","1,100"
Madina,4,,"Mahim, Mumbai",South Indian,250
Shahnaz,4,,"Mahim, Mumbai","Chinese, North Indian",700
Tazza,4,,"Mahim, Mumbai","Fast Food, Chinese",450
Reunion Bar & Kitchen,3.9,772,"Mahim, Mumbai","North Indian, Chinese, Finger Food","1,500"
Bake's House,3.9,,"Mahim, Mumbai","Bakery, Fast Food, Sandwich, Rolls",350
Cafe Ahura Mazda,3.9,,"Mahim, Mumbai","Parsi, North Indian, Chinese",400
D Rajnikhant Dosa,3.9,,"Mahim, Mumbai","South Indian, Chinese, Italian, Maharashtrian, Beverages",300
Delhi Zaika,3.9,,"Mahim, Mumbai","North Indian, Mughlai, Chinese, Seafood, BBQ, Rolls, Beverages","1,200"
Jimmy Boy Cakes Cafe Bakery,3.9,,"Mahim, Mumbai","Bakery, Fast Food, Chinese, North Indian",300
Potoba,3.9,,"Mahim, Mumbai","North Indian, Street Food, Malwani, Maharashtrian",550
Quba Pizza & More,3.9,,"Mahim, Mumbai","Pizza, Fast Food",200
Saibeni Gomantak,3.9,,"Mahim, Mumbai","Malwani, North Indian",500
Yes Boss,3.9,,"Mahim, Mumbai","Fast Food, Chinese",400
Deja Foo,3.8,,"Mahim, Mumbai","North Indian, Fast Food",300
Deliure & The Eatrium,3.8,,"Mahim, Mumbai","Bakery, Fast Food, Pizza, Sandwich, Street Food, Desserts, Beverages",600
Gee-Lee Chinese,3.8,,"Mahim, Mumbai",Chinese,300
Hop In,3.8,,"Mahim, Mumbai",Chinese,500
Icy Spicy Restaurant,3.8,,"Mahim, Mumbai","Chinese, North Indian, Thai",500
Shalimar Chill Lounge,3.8,,"Mahim, Mumbai","North Indian, Mughlai, Fast Food, Pizza",600
Shobha,3.8,,"Mahim, Mumbai","North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts",500
Sweet Little Things,3.8,,"Mahim, Mumbai","Bakery, Fast Food",450
Wan Shan Pan-Asian Cuisine,3.8,,"Mahim, Mumbai","Asian, Malaysian, Chinese, Thai, Burmese",800
Café Conossa By Healthy Hunger,3.7,,"Mahim, Mumbai","Cafe, Continental, Fast Food, Italian, Desserts, Beverages",800
En'creo Bistro & Bar,3.7,,"Mahim, Mumbai","Salad, Continental, Desserts","1,200"
Jaffer Bhai's Delhi Darbar,3.7,,"Mahim, Mumbai","North Indian, Mughlai, Chinese, Biryani, Seafood, Desserts","1,000"
Kolvan Restaurant,3.7,,"Mahim, Mumbai","Maharashtrian, Malwani",600
Mr Lajawab,3.7,,"Mahim, Mumbai",Chinese,350
New Step In Family Restaurant & Bar,3.7,,"Mahim, Mumbai","North Indian, Mughlai, Chinese",600
Paramount,3.7,,"Mahim, Mumbai","Chinese, Mughlai, North Indian",400
Punjab Sind,3.7,,"Mahim, Mumbai","Ice Cream, Desserts, Mithai, Beverages",300
Sagar Sweets & Bakery,3.7,,"Mahim, Mumbai","Bakery, Desserts",350
The Indian Wok,3.7,,"Mahim, Mumbai",Chinese,300
Aapru Parsi Kitchen,3.6,,"Mahim, Mumbai","Parsi, Desserts","1,000"
Chillberg Cafe And Live Ice Cream,3.6,,"Mahim, Mumbai","Fast Food, Ice Cream",300
Papa Jango's Pizza,3.6,,"Mahim, Mumbai","Pizza, Fast Food",450
Prasad Bakery,3.6,,"Mahim, Mumbai","Bakery, Fast Food",200
Hotel Ramesh,3.5,11,"Mahim, Mumbai","North Indian, Mughlai, Seafood, Street Food",550
Hotel Udipi Ramdas,3.5,,"Mahim, Mumbai",South Indian,350
Sushegad,3.5,,"Mahim, Mumbai","Malwani, Goan, Chinese, Seafood, Maharashtrian, North Indian",650
Santosh Sagar,4.2,,"Malabar Hill, Mumbai","South Indian, Chinese, Street Food, Fast Food, Beverages",550
Saraswati Hindu Hotel,3.6,,"Malabar Hill, Mumbai","South Indian, North Indian, Maharashtrian, Chinese, Street Food",400
Bombay 63,4.2,"1,129","Malad East, Mumbai","Continental, North Indian, Chinese, Asian","1,700"
Warehouse Kitchenbar,4.4,"2,242","Malad West, Mumbai","North Indian, Mughlai, Asian, Chinese, Continental, Desserts, Beverages","1,600"
The Food Studio - Kitchen & Bar,4.4,927,"Malad West, Mumbai","North Indian, Continental, Asian, Italian, Mughlai","1,300"
Samvene - The Bagel Cafe,4.3,651,"Malad West, Mumbai","Cafe, Salad, Continental, Fast Food, Desserts, Beverages",500
Beyond- Wine & Dine,4.2,705,"Malad West, Mumbai","North Indian, Continental, Italian, Fast Food, Mexican, Desserts","1,800"
Copycat,4,136,"Malad West, Mumbai","Bar Food, Continental, Fast Food, Biryani, North Indian","2,000"
On Toes,3.9,619,"Malad West, Mumbai","North Indian, Italian, Chinese, Mughlai","1,500"
Alfredo's,3.9,192,"Malad West, Mumbai","Continental, Fast Food, Italian, Middle Eastern, Burger, Beverages","1,500"
Reuben's Restobar,3.8,140,"Malad West, Mumbai","North Indian, Chinese, Continental, Biryani","1,000"
3 Barmen,3.8,42,"Malad West, Mumbai","Salad, Continental, North Indian, Chinese, Beverages","1,000"
Second Home Lounge,3.8,18,"Malad West, Mumbai","North Indian, Chinese, Fast Food","1,500"
Open Your Soda Bottle,3.7,90,"Malad West, Mumbai","Chinese, Continental, North Indian, Italian, Beverages",800
QBV,3.6,44,"Malad West, Mumbai","Fast Food, Finger Food, Chinese, North Indian","1,200"
The Red Chillies Bar Lounge,3.6,42,"Malad West, Mumbai","North Indian, Chinese","1,600"
Fever,3.5,301,"Malad West, Mumbai","North Indian, Chinese, Continental","2,100"
Aum Fine Dine,3.5,100,"Malad West, Mumbai","North Indian, Chinese, Thai, Continental","1,100"
Blue Heaven Bombay Lounge,3.5,89,"Malad West, Mumbai","Chinese, Continental, North Indian",800
Elcy,3.5,63,"Malad West, Mumbai","Continental, Fast Food, North Indian, Chinese","1,000"
MH04 The Drunk Yard,4.4,"1,903","Manpada, Thane West, Thane","Finger Food, North Indian, Italian, Mexican, Continental, Beverages","1,500"
The DanSing Bottle,4.2,"1,771","Manpada, Thane West, Thane","North Indian, Chinese, Fast Food","1,800"
The Orange Mint,4.1,"1,369","Manpada, Thane West, Thane","Bar Food, North Indian, Chinese, Italian","1,600"
Coconuts Lagoon,4.1,"1,217","Manpada, Thane West, Thane","Seafood, Mangalorean, Malwani, North Indian, Chinese, Beverages",900
Gourmet Kitchen,3.8,85,"Manpada, Thane West, Thane","North Indian, Mughlai, Kebab, Seafood","1,300"
B Bhagat Tarachand,4.4,,"Marine Lines, Mumbai","North Indian, Maharashtrian, Street Food",700
Gughan Supreme South Indian,4.4,,"Marine Lines, Mumbai","South Indian, Street Food, Beverages",500
Kyani & Co.,4.4,,"Marine Lines, Mumbai","Bakery, Desserts, Street Food, Fast Food, Mughlai, Beverages, Burger",300
Dark Temptations,4.3,,"Marine Lines, Mumbai","Bakery, Desserts, Fast Food",600
Balwas' Restaurant,4.1,,"Marine Lines, Mumbai","North Indian, Seafood, Biryani, Chinese, Mughlai, Sandwich, Beverages, Desserts","1,100"
Pancharatna,4.1,,"Marine Lines, Mumbai","Mughlai, Seafood, Chinese, North Indian, Asian, Continental, Fast Food, Pizza","1,500"
Raju Chinese,4.1,,"Marine Lines, Mumbai","Chinese, Fast Food, North Indian",300
Sassanian,4,,"Marine Lines, Mumbai","Parsi, Bakery, Fast Food, Desserts, Beverages, Chinese",600
Cafe Metro,3.9,,"Marine Lines, Mumbai","Chinese, North Indian, Mughlai, Desserts, Beverages, Biryani, Fast Food",500
Liberty Lunch Home,3.9,,"Marine Lines, Mumbai","North Indian, Chinese, Mangalorean, Biryani, Seafood, Mughlai, Desserts",550
Maa Ka Khana,3.9,,"Marine Lines, Mumbai","North Indian, Chinese, Maharashtrian, Mughlai, Biryani",450
Pengwin Station,3.9,,"Marine Lines, Mumbai","Fast Food, Desserts",500
Panchavati Gaurav,3.8,,"Marine Lines, Mumbai",North Indian,800
Paris Bakery,3.7,,"Marine Lines, Mumbai",Bakery,300
Castle Hotel,3.6,,"Marine Lines, Mumbai","Goan, North Indian, Chinese, Seafood, Malwani, Mughlai, Biryani",500
Fantasie Fine Chocolate,3.6,,"Marine Lines, Mumbai",Desserts,300
Madras Military Hotel,3.5,,"Marine Lines, Mumbai","North Indian, Chinese, Mughlai",300
Geoffrey's - Marine Plaza,4.1,375,"Marine Plaza, Marine Lines, Mumbai","Continental, Italian","2,500"
Malhar Tribes,4.5,995,"Marol, Mumbai","Seafood, Biryani, Goan, Chinese, North Indian, Maharashtrian","1,600"
Hybrid Theory Cafe & Bistro,4.1,,"Marol, Mumbai","Coffee, Tea, Cafe, Street Food, Fast Food, Sandwich, Pizza, Beverages","1,000"
New Airport Restaurant,4.1,,"Marol, Mumbai","North Indian, Mughlai",600
Rahasya,4,,"Marol, Mumbai",Fast Food,600
Shalimar,4,,"Marol, Mumbai","North Indian, Chinese, Mughlai, Seafood, Arabian, Italian, Desserts, Fast Food","1,000"
Spirit,4,,"Marol, Mumbai","Chinese, North Indian, Seafood, Mughlai, Finger Food","1,500"
El Rancho,3.9,,"Marol, Mumbai","Mexican, American, Italian, Salad, Pizza",600
MusTea,3.9,,"Marol, Mumbai","North Indian, Fast Food",450
New Food Inn,3.9,,"Marol, Mumbai","Mughlai, North Indian, Kebab, Seafood, Maharashtrian, Biryani, Chinese",450
Pick Pocket : Steal Your Meal!,3.9,,"Marol, Mumbai","Arabian, Lebanese, North Indian, Salad, Wraps",400
Sosho - Kitchen & Bar,3.8,119,"Marol, Mumbai","Chinese, North Indian, Continental","1,500"
Narayan's Sandwich House,3.8,,"Marol, Mumbai","Sandwich, Rolls, Italian, Burger, Beverages",350
Nosh & Beyond,3.8,,"Marol, Mumbai","Salad, Continental, Italian, Mexican, Fast Food, Desserts, Beverages","1,400"
Muradabadi Tandoori Hotel,3.7,,"Marol, Mumbai",Chinese,400
#Pehla Nashaa,3.6,,"Marol, Mumbai","Street Food, Tea, Juices, South Indian, Fast Food, Sandwich",300
Atithi Family Restaurant,3.6,,"Marol, Mumbai","North Indian, Chinese, Asian",550
Food Corner,3.6,,"Marol, Mumbai","Chinese, North Indian",400
Hotel Al Zaika,3.6,,"Marol, Mumbai","Chinese, Mughlai",350
Food Connect,3.5,,"Marol, Mumbai","North Indian, Chinese, Sandwich, Beverages",800
Food Rush,3.5,,"Marol, Mumbai","North Indian, Mughlai, Chinese, Beverages",550
Foodie Dineout,3.5,,"Marol, Mumbai","North Indian, Pizza, Italian, Chinese, Mughlai",800
Gopal Krishna- Veg & Non Veg,3.5,,"Marol, Mumbai","Street Food, Chinese, South Indian, North Indian, Beverages",500
Hotel Mezbaan Family Restaurant,3.5,,"Marol, Mumbai","North Indian, Chinese, Mughlai, Biryani",800
Parab's Sampoorna Kitchen,3.5,,"Marol, Mumbai","North Indian, Maharashtrian, Street Food, Biryani",400
Singh's Chilli,3.5,,"Marol, Mumbai","Asian, North Indian, Chinese, Seafood",700
Waffle Latte,3.5,,"Marol, Mumbai","Desserts, Beverages",300
Liberty,3.9,112,"Marve, Mumbai","Chinese, North Indian, Malwani",800
Hotel Ram Ashraya,4.9,,"Matunga East, Mumbai","South Indian, Beverages",200
A.Rama Nayak's Udipi Shri Krishna Boarding,4.8,,"Matunga East, Mumbai",South Indian,400
Cafe Madras,4.8,,"Matunga East, Mumbai",South Indian,250
Arya Bhavan,4.6,,"Matunga East, Mumbai","South Indian, Fast Food, Beverages, Street Food, Sandwich, Juices",400
Udipi Idli House,4.4,,"Matunga East, Mumbai",South Indian,150
Ayyappan Idli Stall,4.3,,"Matunga East, Mumbai",South Indian,150
Durga Restaurant And Bar,4.2,566,"Matunga East, Mumbai","North Indian, Chinese, Seafood, Finger Food, Hyderabadi, Biryani, Kebab",800
Anand Bhavan,4.2,,"Matunga East, Mumbai",South Indian,300
Cafe Mysore,4.2,,"Matunga East, Mumbai","South Indian, North Indian, Mithai",400
Dumpling Delights,4.2,,"Matunga East, Mumbai","Fast Food, Momos, Sandwich, Rolls, Panini",200
Ramanayak Udipi,4.2,,"Matunga East, Mumbai","South Indian, North Indian, Fast Food, Sandwich, Beverages",400
Sharda Bhavan,4.2,,"Matunga East, Mumbai",South Indian,200
Health Juice & Fast Food,4.1,,"Matunga East, Mumbai","Beverages, Juices, Fast Food, Pizza, Sandwich, Rolls, Pasta",400
Pizza Kitchen By 1Tablespoon,4.1,,"Matunga East, Mumbai","Italian, Pizza, Fast Food, Beverages",400
Spring Onion,4.1,,"Matunga East, Mumbai","Chinese, Seafood, Thai, Korean",800
Amba Bhavan,4,,"Matunga East, Mumbai",South Indian,200
Cafe Gulshan,4,,"Matunga East, Mumbai","North Indian, Chinese, Fast Food, Street Food, Biryani, Mughlai, Desserts, Beverages",650
Classic Fast Food,4,,"Matunga East, Mumbai","North Indian, Chinese, South Indian, Street Food, Beverages, Fast Food, Mexican, Italian",600
DP's The Fast Food Centre,4,,"Matunga East, Mumbai","Chinese, Fast Food, South Indian, Street Food, Sandwich, Beverages, Continental","1,000"
Oasiss Cakes & Ice Creams,4,,"Matunga East, Mumbai","Desserts, Bakery, Ice Cream, Beverages",500
Whatta Waffle!,4,,"Matunga East, Mumbai","Cafe, Desserts, Fast Food, Beverages",500
Cafe 2.0,3.9,,"Matunga East, Mumbai","Fast Food, Italian, Street Food, Pizza",350
Koldplay Ice Creams,3.9,,"Matunga East, Mumbai","Desserts, Ice Cream",300
Messy Adda,3.9,,"Matunga East, Mumbai","Cafe, Fast Food, Italian, Street Food, Pizza, Pasta, Beverages",600
The Bogeto Café,3.9,,"Matunga East, Mumbai","Italian, Desserts, Fast Food","1,200"
Udipi Sri Krishna,3.9,,"Matunga East, Mumbai",South Indian,500
All In Bun,3.8,,"Matunga East, Mumbai",Fast Food,150
Food Spot,3.8,,"Matunga East, Mumbai","Fast Food, Beverages, Burger, Momos",450
Just Chill 7,3.8,,"Matunga East, Mumbai","Desserts, Ice Cream, Beverages",200
London Bubble Co.,3.8,,"Matunga East, Mumbai","Desserts, Beverages, Ice Cream",400
Madras Talkies,3.8,,"Matunga East, Mumbai",South Indian,250
Pomona,3.8,,"Matunga East, Mumbai","Italian, American, Continental, Fast Food, Pizza",700
Ramanlal Vithaldas & Co Mewawala,3.8,,"Matunga East, Mumbai","Mithai, Street Food",250
Vintage Creams,3.8,,"Matunga East, Mumbai","Bakery, Desserts",300
Xi's Chinese,3.8,,"Matunga East, Mumbai",Chinese,250
Mawali Bhai Dosa,3.7,,"Matunga East, Mumbai",South Indian,300
Shree Sunders,3.7,,"Matunga East, Mumbai",South Indian,400
Bandy's Fast Food & Pav Bhaji,3.6,,"Matunga East, Mumbai","Rolls, Sandwich, Burger, Pizza, Fast Food",350
Baskin Robbins,3.6,,"Matunga East, Mumbai","Ice Cream, Desserts, Beverages",200
Churolls & Co,3.6,,"Matunga East, Mumbai","Fast Food, Rolls, Beverages, Desserts, American, Street Food",400
Dal Pakwaan House,3.6,,"Matunga East, Mumbai","Fast Food, Desserts, Sindhi",200
Jugaadi Adda,3.6,,"Matunga East, Mumbai","Street Food, Maharashtrian",100
Rahul's Food Court,3.6,,"Matunga East, Mumbai","Fast Food, Sandwich, Pizza, Rolls, Beverages, Street Food, Chinese",300
Shree Balaji Refreshments,3.6,,"Matunga East, Mumbai","South Indian, Beverages, Desserts",200
Suraj Chinese Corner,3.6,,"Matunga East, Mumbai",Chinese,300
Annaji Dosawala,3.5,,"Matunga East, Mumbai",South Indian,300
Chai Sutta Bar,3.5,,"Matunga East, Mumbai","Street Food, Fast Food, Beverages, Sandwich, Mexican",200
Sumthing Fishy,4,,"Matunga West, Mumbai","Chinese, Seafood",400
Gold Coins Eatery & Bar,3.9,161,"Matunga West, Mumbai","North Indian, Chinese, Continental, Mexican, Italian, Desserts, Beverages, Mughlai","1,400"
Meridian Ice Cream,3.9,,"Matunga West, Mumbai",Fast Food,250
Aroma The Cake Shop,3.8,,"Matunga West, Mumbai","Bakery, Desserts",400
Hotel Sheetal,3.8,,"Matunga West, Mumbai","North Indian, Chinese, Malwani, Biryani, Kebab",600
Rehmat Restaurant,3.7,,"Matunga West, Mumbai","North Indian, Chinese, Mughlai, Fast Food, Biryani, Beverages",600
Indian Kitchen,3.6,,"Matunga West, Mumbai","North Indian, South Indian, Beverages",400
Katta - The Food Corner,3.6,,"Matunga West, Mumbai",Chinese,200
Shree Krishna Veg Diet,3.6,,"Matunga West, Mumbai","North Indian, Chinese, South Indian, Sandwich, Street Food, Juices, Beverages",450
Ganga Vihar,3.5,,"Matunga West, Mumbai","North Indian, South Indian, Chinese, Sandwich, Mughlai, Street Food, Desserts, Beverages",500
PB's Fast Food,3.5,,"Matunga West, Mumbai","North Indian, Chinese, Maharashtrian, Mughlai, Seafood",500
Queen Mary,4.1,,"Mazgaon, Mumbai","North Indian, Mughlai, Chinese, Fast Food, Beverages, Desserts",800
Al Rehmani Restaurant,4,,"Mazgaon, Mumbai","Mughlai, Chinese, North Indian",300
M.M Fast Food Corner,4,,"Mazgaon, Mumbai","Chinese, Mughlai",350
Anmol Caterers & Restaurant,3.9,,"Mazgaon, Mumbai","North Indian, Chinese, Fast Food",400
Fat Freddy,3.9,,"Mazgaon, Mumbai","Burger, Fast Food, Beverages",400
Mazgaon Restaurant,3.9,,"Mazgaon, Mumbai","Chinese, Mughlai",300
Pine Restaurant,3.9,,"Mazgaon, Mumbai","Chinese, North Indian, Mughlai",400
Sudha Fast Food,3.7,,"Mazgaon, Mumbai","Street Food, Chinese",400
Arbeek Shawarma's And More,3.6,,"Mazgaon, Mumbai",Lebanese,300
Famous Street Chicken,3.6,,"Mazgaon, Mumbai",Fast Food,400
Hotel Suprabhat,3.6,,"Mazgaon, Mumbai","North Indian, Fast Food, South Indian, Chinese",400
Hunger Bunker,3.6,,"Mazgaon, Mumbai","Kashmiri, Fast Food, Continental, Desserts, Beverages",500
Ming China,3.6,,"Mazgaon, Mumbai","Chinese, Asian",850
